Parcela,RaG
And_410,0.1093
And_412,0.0879
And_414,0.0959
And_415,0.1094
And_418,0.0994
And_422,0.0886
And_423,0.0824
And_424,0.1067
And_425,0.1082
And_426,0.0814
And_427,0.1032
And_428,0.1254
And_429,0.0924
And_430,0.0851
And_431,0.0949
And_432,0.0842
And_433,0.0771
And_434,0.0974
And_436,0.0949
And_439,0.1121
And_440,0.0912
And_441,0.0879
And_442,0.0802
And_444,0.0871
And_445,0.0951
And_446,0.1091
And_447,0.0622
And_448,0.11
And_449,0.0744
And_450,0.092
And_451,0.0953
And_453,0.0913
And_454,0.0608
And_455,0.0759
And_456,0.0906
And_457,0.0798
And_458,0.0727
And_459,0.0838
And_460,0.0596
And_461,0.0964
And_462,0.0126
And_463,0.1102
And_464,0.109
And_465,0.0752
And_466,0.0324
And_467,0.1059
And_468,0.0699
And_469,0.0823
And_471,0.0729
And_472,0.122
And_473,0.0778
And_474,0.1006
And_475,0.0753
And_476,0.0849
And_477,0.0774
And_478,0.0439
And_479,0.0811
And_480,0.1035
And_481,0.0739
And_482,0.0926
And_483,0.0727
And_484,0.1029
And_485,0.1232
And_486,0.0902
And_487,0.0438
And_488,0.1224
And_489,0.0746
And_490,0.0851
And_491,0.086
And_492,0.1373
And_493,0.1147
And_495,0.0952
And_496,0.0897
And_497,0.0927
And_498,0.0754
And_499,0.0877
And_500,0.0112
And_501,0.0854
And_502,0.1046
And_503,0.0875
And_504,0.1076
And_505,0.0826
And_506,0.0763
And_507,0.1001
And_508,0.0728
And_509,0.0827
And_510,0.0432
And_511,0.0558
And_512,0.0738
And_513,0.0695
And_514,0.122
And_515,0.0314
And_516,0.0808
And_517,0.1094
And_518,0.1068
And_519,0.1139
And_520,0.072
And_521,0.0949
And_522,0.0725
And_523,0.0602
And_524,0.1203
And_525,0.105
And_526,0.1105
And_527,0.0741
And_528,0.0402
And_529,0.0883
And_530,0.1141
And_531,0.0294
And_532,0.0789
And_533,0.0543
And_534,0.0754
And_535,0.0727
And_537,0.0804
And_538,0.0706
And_539,0.1261
And_540,0.0761
And_541,0.0719
And_542,0.086
And_543,0.083
And_544,0.0698
And_545,0.0862
And_546,0.1018
And_547,0.0746
And_548,0.08
And_549,0.0904
And_550,0.0798
And_551,0.0547
And_552,0.0841
And_553,0.1053
And_554,0.1095
And_555,0.0726
And_556,0.0785
And_557,0.1401
And_558,0.0463
And_559,0.1074
And_560,0.0875
And_561,0.0511
And_562,0.0816
And_563,0.0565
And_565,0.0716
And_566,0.0394
And_567,0.0652
And_568,0.069
And_569,0.1043
And_570,0.0421
And_571,0.052
And_572,0.0483
And_574,0.119
And_575,0.0467
And_576,0.074
And_577,0.1087
And_578,0.0646
And_579,0.0351
And_580,0.1243
And_581,0.1091
And_582,0.0945
And_583,0.1367
And_584,0.0589
And_585,0.0814
And_586,0.0988
And_587,0.0938
And_588,0.0673
And_589,0.0437
And_590,0.0874
And_591,0.1053
And_592,0.0954
And_593,0.104
And_594,0.0697
And_595,0.0688
And_596,0.0727
And_597,0.0802
And_598,0.0851
And_599,0.11
And_600,0.0771
And_601,0.0703
And_602,0.1109
